repo_id,repo_type,level,file_count,total_size,total_size_str
deepghs/fgo_voices_jp,dataset,t1.2,5,4681552588,4.68 GB
deepghs/azurlane_voices_jp,dataset,t1.2,5,3342050458,3.34 GB
deepghs/girlsfrontline_voices_jp,dataset,t1.2,5,2029484727,2.03 GB
deepghs/anime_hand_detection,dataset,t1.2,1,2419,2.42 kB
deepghs/cc100_char_freq,dataset,t1.2,121,22540050,22.5 MB
deepghs/realutils_unittest,dataset,t1.2,7,2499350374,2.5 GB
deepghs/fontutils_unittest,dataset,t1.2,2,353744328,354 MB
deepghs/erairaws_infos,dataset,t1.2,2060,360939920,361 MB
deepghs/sankaku_tags_categorize_for_WD14Tagger,dataset,t1.2,2,329056,329 kB
deepghs/e621-v1-seed,dataset,t1.2,6,779417811,779 MB
deepghs/wdtagger-v4-extended-seed,dataset,t1.2,5,899571953,900 MB
T1.2,,,20977,283585610836,264.1 GB
t1,,,30846,3154634895433,2.869 TB
t0+t1,,,84682,3621111165419,3.293 TB
